Dice,IoU,Sensitivity,Specificity,Accuracy,Experiment,Fold,Image_Idx
0.24722527569856662,0.1410479465905683,0.141373996268386,0.9998132996177556,0.9356618984116452,Baseline (Raw + UNet),1,21
0.4375802393045818,0.2800657354140343,0.2858532657912515,0.9979476996575064,0.9336161959022506,Baseline (Raw + UNet),1,22
0.7063273159682456,0.5459861096911807,0.5958923196951402,0.9888464206528282,0.9461116498966705,Baseline (Raw + UNet),1,36
0.27500373971495884,0.15942280342655166,0.16139340520363313,0.9988324383129401,0.9265577645772437,Baseline (Raw + UNet),1,38
0.00020924332382965175,0.00010463260875224402,0.00010463260875224402,0.9999999999996572,0.8841526245602849,Baseline (Raw + UNet),2,24
0.4607352621262216,0.29932165064902727,0.3072570993351929,0.9975825680333488,0.9398957449384956,Baseline (Raw + UNet),2,26
0.2903146509332279,0.1698058950389295,0.1702280998876789,0.9997716811871917,0.9300036368041793,Baseline (Raw + UNet),2,29
0.002812523129291642,0.0014082419211332337,0.0014082419211332337,0.9999999999996699,0.9183355558246702,Baseline (Raw + UNet),2,32
0.19734378765120886,0.10947388986282501,0.9802053123372453,0.4394573007132695,0.47505758273715754,Baseline (Raw + UNet),3,23
0.3606325257505524,0.21998272590815,0.9623997274415015,0.6339439586389649,0.6660837677292198,Baseline (Raw + UNet),3,34
0.3324933726504438,0.1993955329454555,0.9676155473077646,0.6309864206507624,0.6604103527698326,Baseline (Raw + UNet),3,37
0.403242370891723,0.2525382459684361,0.969556935230106,0.733143906740868,0.7534549642378611,Baseline (Raw + UNet),3,39
0.1526468143642984,0.08263001117015444,0.08408854084409331,0.9981259910620843,0.9103982300882196,Baseline (Raw + UNet),4,25
0.38948279058150687,0.24183708705735396,0.24350950393971754,0.9994113313773533,0.9401139532061643,Baseline (Raw + UNet),4,30
0.15972846161472254,0.08679613757156415,0.0899347972716408,0.9968180589166903,0.9234725421260385,Baseline (Raw + UNet),4,33
0.541423169472495,0.3711996229068615,0.3779848806032639,0.9985014378978818,0.9514850284880132,Baseline (Raw + UNet),4,40
0.2976049591425821,0.17481545234805912,0.1816462009418304,0.9962244962391209,0.9244514486601635,Baseline (Raw + UNet),5,27
0.39752041719866793,0.2480658234058453,0.2507136651351287,0.9988445984976425,0.9257728209477131,Baseline (Raw + UNet),5,28
0.3649850479616102,0.22323040379941458,0.23615438737442881,0.9962846140446117,0.9504455085462025,Baseline (Raw + UNet),5,31
0.42323764041780204,0.2684219583539204,0.2725779393252042,0.9985299388079567,0.9355800703112693,Baseline (Raw + UNet),5,35
0.8117282048104302,0.6831166136371452,0.8010787573980003,0.9860531539259533,0.9722299672684652,Enhanced + UNet,1,21
0.7792092238664259,0.6382823650865854,0.7050890670579184,0.9896052320328802,0.9639016850524416,Enhanced + UNet,1,22
0.7967597369584083,0.6621784205793877,0.720878385908146,0.9891830683221381,0.960004242938247,Enhanced + UNet,1,36
0.7878479170442281,0.6499579781466864,0.7604031323497545,0.9839493437437653,0.9646563219781292,Enhanced + UNet,1,38
0.8193175148810551,0.6939355205210104,0.7668523895451964,0.9862304657369336,0.960813431930852,Enhanced + UNet,2,24
0.7474852070992095,0.5967875280483147,0.7330359409540745,0.9791823061173334,0.9586131652318588,Enhanced + UNet,2,26
0.7747822330991743,0.6323628778735205,0.7756477244035327,0.9791932073495564,0.9620741908107158,Enhanced + UNet,2,29
0.7925015434682372,0.6563168169543667,0.7849095760421549,0.9825497729189828,0.9663868347675577,Enhanced + UNet,2,32
0.755712875338304,0.6073460541060984,0.7223679970504886,0.9866531273010746,0.9692538489510943,Enhanced + UNet,3,23
0.6372948128682907,0.4676688831057443,0.6012326942713747,0.9690230555001733,0.9330343071884674,Enhanced + UNet,3,34
0.7930379528252356,0.6570529327592073,0.7962275926604617,0.9797123396394848,0.9636743847736199,Enhanced + UNet,3,37
0.7667778240920404,0.6217677877285174,0.7786792719035605,0.976280784583844,0.9593041580794766,Enhanced + UNet,3,39
0.7303818832636638,0.5752768282333384,0.6217436609914372,0.9914244814624004,0.955943144623301,Enhanced + UNet,4,25
0.7495177849201503,0.5993830027181073,0.6980760315225696,0.9859837672157664,0.9633985937686497,Enhanced + UNet,4,30
0.8052215219449698,0.6739504742802055,0.806715131526618,0.9826658401310423,0.9684355679473365,Enhanced + UNet,4,33
0.7821206654625956,0.6421988150079532,0.8584056637700156,0.9723995684662619,0.9637622742147642,Enhanced + UNet,4,40
0.789209710562521,0.6518137099771256,0.7793829326152121,0.9810892461286194,0.963316765668274,Enhanced + UNet,5,27
